t_f,rho_f
-15.2737576837562,-0.973438106400812
-15.0570259485824,-0.95575373683775
-16.4057166986555,-1.05349692129483
-16.4134548908593,-1.04521372463556
-14.4266359544048,-0.918563509737575
-16.1026993075728,-1.02282114691666
-17.1055374338109,-1.08577389002415
-18.1548321856402,-1.14506255530643
-16.0179416554552,-1.01552543536943
-15.3692859318928,-0.979339079924797
-17.4183082807499,-1.1058585247711
-17.0133599093188,-1.08171910983796
-14.4572471942793,-0.922362264938642
-17.518627502492,-1.11027418345708
-14.5526294942804,-0.92334682097483
-15.6795269901734,-1.00353862577122
-15.4960513011706,-0.987972912184999
-17.0071284837105,-1.08163776630636
-14.2353405716872,-0.903458510891112
-14.6673297738666,-0.929272309327093
-15.4374240119591,-0.975611779784745
-13.8104691889829,-0.872978957089426
-15.5940472985681,-0.99169653643597
-14.6467669833264,-0.934384745469564
-14.1691536567684,-0.898917615398922
-16.5765121999644,-1.05347127049299
-15.7697428210852,-1.00469934558143
-14.7252953948218,-0.933725531322029
-14.7848064613937,-0.941855309704164
-15.9459226799828,-1.0211913017787
-15.453071855541,-0.982906554778251
-16.9272296060083,-1.08092764728065
-14.7804194943911,-0.941009939269951
-17.6258611105034,-1.11615982483645
-13.8260354610129,-0.875983204542587
-17.5886128880762,-1.11427843845518
-15.5090173780848,-0.986558588728106
-16.0640195842166,-1.02370864546438
-14.9959968586342,-0.954565231991838
-13.4727994970996,-0.851569961310164
-14.9111184175397,-0.94903145656468
-14.8494994347611,-0.947934793557872
-14.9959395188013,-0.952029574654333
-15.1803129159782,-0.970192135576398
-14.9373500210787,-0.95112474310137
-17.7077704563623,-1.11934049366887
-17.2791988509426,-1.09553472107825
-14.3750043393573,-0.913558283168179
-15.1493901931643,-0.963553160610394
-16.7402365802001,-1.06773012188005
-15.5176300966875,-0.989308353219385
-17.9991933916693,-1.13764469245377
-15.3329686715132,-0.976304832508579
-16.8377850489365,-1.07066241762753
-15.893734569124,-1.01183097157401
-16.2734380857363,-1.03687912967453
-17.1358708806433,-1.09130238285359
-17.5578770114104,-1.11112151322331
-15.2923187114217,-0.974217515824148
-16.5012218432722,-1.05182627876914
-16.7464178648928,-1.06779450047947
-16.5756216849376,-1.0554311388735
-15.6143650380278,-1.00238360637533
-15.7170340145095,-0.998511189917653
-14.9895733986601,-0.948594435590358
-16.491004606101,-1.06324798446051
-13.9572073776684,-0.884710046563126
-16.6674213714188,-1.06078845590039
-17.7095926626691,-1.1192602550785
-14.9150569680121,-0.94922006635552
-15.8257071688605,-1.00425873658089
-15.3402038079352,-0.982239434955029
-17.1804969267868,-1.08997567045287
-14.0665043101339,-0.892302300448875
-16.1510219845246,-1.02621547103685
-16.8108608807493,-1.06691411604562
-13.9524390047698,-0.884263357910669
-14.3744111708353,-0.911124972549354
-14.9321041083968,-0.952484638649923
-16.4328647679936,-1.04308585203381
-15.0612582215667,-0.967313909542527
-16.5738779636421,-1.05408687318233
-15.7914807417388,-1.00220697204384
-16.0198348254658,-1.02086470687649
-15.8704959098048,-1.01189900511762
-14.9207380040566,-0.947975686902767
-16.0199485173093,-1.02102654097372
-16.0899884739467,-1.02329701845765
-15.8436424810929,-1.01078815307094
-17.6085883305822,-1.11529881238422
-14.2735157484711,-0.906844389146088
-15.2221650365071,-0.970513502148665
-14.5704793574302,-0.926756045372287
-14.3232946729449,-0.910397690749695
-16.8082807804692,-1.06910597658164
-16.0387683445493,-1.02732442245926
-16.591306635946,-1.053343208114
-17.6116474911691,-1.11303993555298
-15.30618954643,-0.976810884864182
-16.5964174807469,-1.05598994119561
-14.6697975009448,-0.933220175323464
-16.1816453859443,-1.01919448646492
-14.7489454010733,-0.938427140316086
-17.422337637305,-1.1089144267607
-15.4315194948666,-0.982571434536028
-17.1132203744409,-1.07868089716803
-18.0381242974113,-1.12771263006892
-15.5621253872268,-0.990638885367211
-15.6372740190267,-1.0045615484132
-14.1803542497257,-0.899106705553928
-15.2278733887253,-0.970136745630548
-15.6524390955863,-0.996694231997915
-14.3969352018575,-0.91801451544307
-16.7031865210535,-1.06346637216417
-15.0878157297262,-0.962435439505476
-16.0906752611946,-1.02674130270466
-16.06266165533,-1.02347015509251
-16.7764952822238,-1.06392107175471
-16.1880600664564,-1.02278759391659
-15.1419993710074,-0.970036845052972
-15.8526799258068,-1.01101630157684
-15.8457177058616,-1.01727425660171
-16.1810896904964,-1.03182238567971
-15.0466044576764,-0.961954140677551
-14.1479045173877,-0.897436544872645
-14.9811687436493,-0.953973718697433
